InventoryID,DateKey,ProductKey,WarehouseKey,OpeningStock,ClosingStock,StockIn,StockOut,InventoryValue
164,863,161,48,3002,4917,1839,133,477672.22
165,339,196,27,2125,3877,229,1729,2298517.69
166,343,12,42,4908,1006,1693,1644,668426.0
167,373,200,1,3992,4007,1857,1069,1200438.46
168,360,174,11,259,3566,1506,424,1243272.19
169,535,197,25,1669,509,1374,232,826233.32
170,259,288,48,2176,2742,1665,1212,3267017.89
171,809,189,13,3957,2600,1205,986,3928773.24
172,851,197,24,3834,3045,1516,1407,4851767.57
173,94,130,37,2229,432,150,1954,4993518.4
174,937,182,47,4431,1460,349,1139,3448412.85
175,121,197,2,4695,4453,413,1344,4525684.46
176,296,230,2,2021,2996,985,796,972662.81
177,288,266,39,2949,284,787,528,788970.89
178,274,6,34,3802,3221,1237,1956,4780849.27
179,757,251,34,4093,3992,1770,359,313080.65
180,408,213,42,3771,806,1381,317,2093167.23
181,1028,223,5,1967,2043,1462,1275,1460524.37
182,1007,40,42,3445,1610,1779,1816,1936994.18
183,996,41,15,1320,3235,1201,722,3573922.89
184,922,97,10,380,1044,540,1445,3005298.79
185,969,228,6,1471,4626,1425,1324,957545.16
186,438,258,19,1711,278,442,422,2577857.53
187,57,248,48,2104,1883,1057,621,2377940.5
188,870,86,24,4999,2793,1877,1031,940351.32
189,385,99,22,657,4528,135,1950,4288605.41
190,87,167,36,2555,1909,648,1237,1680041.27
191,92,136,38,2781,4099,1644,1155,1492059.62
192,406,61,29,77,765,1692,56,4496891.42
193,803,1,7,3407,4713,354,1420,3535670.36
194,159,219,28,1899,716,1488,1365,2543420.91
195,345,176,16,655,1246,1110,637,2358846.7
196,330,52,44,4483,3128,129,1050,3648548.13
197,163,229,20,811,3365,1009,1514,161392.7
198,739,189,45,3331,3862,1408,573,3855075.09
199,632,28,37,1333,3752,1035,32,3353614.52
200,390,206,40,4538,2097,816,1846,4828652.58
201,46,195,30,3824,3499,453,1966,3888600.92
202,111,275,34,851,4082,1710,170,1311415.64
203,1096,221,29,1449,557,1118,1197,1699000.43
204,446,229,42,118,68,866,1299,2065650.86
205,671,34,10,2768,3287,1734,1221,3742904.2
206,199,179,30,1178,1876,202,1031,584379.96
207,566,204,38,2661,247,69,1127,2456703.64
208,64,236,5,4886,617,711,199,3295946.55
209,34,157,11,1730,2803,910,1470,2189556.63
210,888,134,28,276,1385,1421,276,2807559.81
211,913,99,10,3801,3639,1962,1743,3886704.53
212,229,5,26,59,387,1012,1644,1076796.28
213,832,34,6,2725,3844,729,203,915960.71
214,525,156,41,2997,3430,174,40,3354992.94
215,846,76,32,1431,3429,1503,659,2842403.61
216,1046,22,37,2103,3408,1591,1059,432299.94
217,602,213,29,1369,2617,376,1117,1792184.46
218,956,76,4,1874,2463,107,883,3777484.71
219,267,127,36,1295,585,1279,1644,3624628.69
220,754,282,43,1925,3608,1118,1232,4882507.37
221,51,24,40,4652,426,263,1730,70408.86
222,906,266,34,3507,713,278,1758,4753043.09
223,878,56,50,716,3773,1557,1630,1130764.63
224,952,246,30,2552,3369,1157,938,4829376.06
225,181,138,19,3020,3269,622,38,1836295.74
226,492,74,12,4651,1557,814,1003,1241450.22
227,415,37,43,3426,4728,543,1038,1092034.18
228,235,211,21,4828,2710,419,689,1135441.09
229,921,266,24,4967,3963,553,649,4182256.93
230,564,83,14,3553,4696,1935,102,3898789.26
231,36,251,10,3814,2720,113,305,1202674.25
232,60,17,40,4916,3079,26,617,1901219.64
233,256,90,49,3074,2064,1700,587,2079898.35
234,162,132,14,3562,1518,297,1367,2271817.13
235,275,208,3,4597,4406,393,1900,2179112.66
236,328,111,26,258,1764,1353,1604,435574.23
237,594,75,38,2296,1174,1417,1959,1804483.97
238,1036,89,41,1256,1387,1266,34,966967.36
239,579,204,40,4760,3033,1404,1326,2225784.11
240,678,72,12,3940,2451,367,261,4459476.74
241,442,192,1,4932,3603,108,58,1572848.11
242,958,268,50,113,1216,1563,1784,1951496.42
243,625,46,8,3586,272,1707,446,1715103.62
244,813,215,12,2840,403,1670,644,1508533.4
245,452,268,34,2714,3372,1544,1412,2015966.49
246,1089,243,35,248,3265,1010,145,730307.91
247,976,156,4,4352,3668,337,577,4081686.55
248,155,138,27,869,2434,1879,1073,328254.71
249,697,283,18,3088,2356,1838,1390,4357733.91
250,236,78,10,685,2549,843,1175,3820442.68
251,770,186,19,945,4775,1331,190,1469178.07
252,1049,142,18,660,1983,952,962,2002125.19
253,822,285,31,4441,801,219,1351,2779954.82
254,476,6,14,909,958,126,842,1086249.66
255,394,30,3,1129,4044,266,149,2060086.92
256,516,275,45,4694,3593,661,769,4331674.29
257,310,129,48,2365,4725,686,372,1102863.47
258,1050,185,20,2842,2628,447,1783,4309890.62
259,178,66,44,2806,3149,408,784,4369706.0
260,863,49,20,854,4816,785,1469,4879742.78
261,169,263,30,1617,3701,433,1023,497958.73
262,721,71,34,369,98,392,98,2269409.97
263,109,232,31,3135,4397,567,1188,3058846.94
264,742,97,46,866,2157,218,259,2690247.16
265,224,132,8,4779,3348,1952,1124,1996880.21
266,322,274,2,4786,4972,728,193,2013209.3
267,530,167,26,1564,3499,354,1654,393482.65
268,768,283,7,770,740,106,1773,3046167.12
269,385,192,22,2162,551,1420,119,904091.39
270,947,11,32,4962,3597,1194,1410,2481927.05
271,34,152,38,549,3201,1360,588,1213901.02
272,556,19,34,564,2582,346,1187,3650113.45
273,1058,193,34,3440,2451,1697,1360,663310.33
274,320,189,2,3711,1280,1608,36,3010205.29
275,164,152,41,512,2267,849,1601,2506369.9
276,801,19,50,95,4978,345,866,2901260.16
277,625,288,50,1133,196,1811,1705,662053.32
278,725,148,23,1959,705,126,343,2759649.01
279,499,37,24,3391,1596,1863,425,2870978.5
280,941,95,15,3195,4093,1540,462,2123185.2
281,941,257,27,4797,2815,1646,1809,4945770.77
282,784,200,26,357,3002,297,594,1564522.69
283,350,246,34,4931,4590,734,288,748475.78
284,479,152,10,3406,772,1770,235,4553939.86
285,1026,170,14,2462,3390,654,180,484832.43
286,210,181,50,4128,1461,595,550,1071872.91
287,73,230,37,1000,2315,870,1578,4946325.31
288,462,214,6,959,2046,829,548,2085073.78
289,903,65,13,3819,2707,86,1900,546065.26
290,906,21,33,4370,4273,1512,1781,492274.56
291,1079,38,50,2321,3128,763,1297,3485121.46
292,772,271,5,2564,4070,221,898,3969254.82
293,629,291,44,4240,2398,428,1536,761271.69
294,861,224,30,3687,4571,705,1974,169302.81
295,571,27,5,2126,4945,1991,1610,4738194.9
296,854,94,8,4362,4070,1362,765,4543206.41
297,969,124,49,847,3067,1571,1531,2612897.94
298,876,4,23,4844,4877,661,61,2367542.98
299,681,123,6,1964,2536,590,474,2798522.05
300,201,59,33,1954,1006,1007,1174,3863193.16
301,504,112,36,4727,929,1303,576,4646780.12
302,83,12,27,1196,2245,1416,205,902938.11
303,1085,18,30,329,124,1018,1375,891938.62
304,643,285,13,1600,3212,1627,54,2046253.82
305,221,65,9,2661,1237,1101,1829,884269.58
306,655,53,41,2766,1013,1758,320,961684.72
307,487,45,50,4591,4797,243,526,2206719.03
308,4,53,6,1645,2980,302,1809,2933497.25
309,326,39,1,2108,2304,1477,1255,1977399.55
310,229,67,16,1867,2793,188,761,1274909.01
311,308,13,38,936,1201,249,1532,385729.19
312,713,70,30,586,243,1611,1618,3659188.42
313,378,221,19,1523,2129,1454,1242,3217067.89
314,148,22,13,2302,253,895,1181,3358459.44
315,92,154,13,2184,2183,770,1565,1969347.09
316,131,173,22,2280,2866,995,360,4406305.76
317,690,287,25,2739,1174,510,1956,684901.41
318,749,103,8,1462,3732,219,1644,3935509.97
319,887,286,15,2505,2309,1283,1103,636318.45
320,197,279,47,1606,3806,496,992,966329.9
321,1029,268,38,1093,1430,1157,1516,4512661.2
322,915,38,43,565,2318,1105,1995,2144901.37
323,133,3,49,2655,2241,1546,1201,3472212.8
324,978,237,21,2931,3144,1899,957,3303027.43
325,853,34,44,1435,2972,1032,1722,1936502.46
326,113,182,46,2408,2606,991,287,4916184.66
327,1037,274,24,4953,1771,1028,1542,3777916.86
328,540,284,16,3022,1242,148,290,2833049.43
329,603,145,17,4618,840,610,1375,2456716.14
330,242,181,44,450,3223,280,1577,449650.08
331,638,168,11,273,147,1955,1931,1325494.45
332,896,259,28,3195,4152,523,1522,1659442.19
333,93,166,37,2751,3194,922,731,2990794.16
334,714,2,18,3531,2083,621,157,1021053.8
335,597,4,38,3887,3775,1069,1393,2577067.66
336,173,164,19,525,2459,1481,1931,4424035.96
337,554,166,4,2799,3636,782,810,259233.4
338,231,104,35,253,2633,590,1940,4151165.45
339,1086,227,32,2769,1667,713,788,3194403.91
340,891,117,23,1382,3663,1038,1239,483784.23
341,988,80,34,4047,464,48,1481,3066020.95
342,174,272,47,3672,4780,1768,1483,2959811.19
343,603,106,49,3725,3280,794,1469,1736074.54
344,124,36,47,1847,4534,372,1332,1283155.8
345,124,146,50,1132,3641,574,27,1609095.91
346,299,3,13,855,4750,959,1143,1572794.45
347,563,58,1,3761,4903,751,1361,3047691.99
348,137,7,16,3941,627,117,686,978198.16
349,170,280,24,4333,1888,42,114,2906365.45
350,756,29,7,2873,2994,823,1272,3041072.77
351,265,233,26,2898,599,1222,1424,1977965.85
352,242,287,12,826,407,188,1390,4369011.78
353,1027,200,46,4722,3889,1232,482,653981.81
354,632,66,46,2841,1107,1286,1121,4445277.41
355,609,137,47,1292,2110,1023,918,4760576.96
356,976,220,39,2421,2090,998,1884,4154603.68
357,41,259,31,4754,443,314,1098,1371382.86
358,355,11,25,1754,2007,1653,1579,2978602.84
359,986,83,49,2585,916,1701,517,1056177.52
360,42,139,37,2915,4147,880,1537,87245.04
361,620,291,22,1420,3011,1356,1825,1306304.23
362,765,199,2,2158,2708,1758,239,4854610.56
363,884,201,40,2531,4229,1928,665,2140228.1
364,157,280,26,887,2284,191,1333,4810223.5
365,878,250,30,812,4054,1392,850,4227515.86
366,666,194,31,2828,259,9,548,652124.69
367,340,255,29,2034,1562,1830,596,138998.2
368,56,37,22,3315,388,926,762,4825286.79
369,280,180,32,4920,2085,1924,280,2889032.55
370,46,100,50,1629,1978,958,1466,3133840.63
371,370,54,50,3844,1169,428,821,3273330.69
372,626,120,3,3347,3676,71,1399,3003601.48
373,530,105,38,3732,58,1341,714,2670491.5
374,394,251,30,2119,1104,1297,1412,3195632.51
375,864,155,7,3921,3688,1444,1509,894304.88
376,97,262,38,1514,243,1887,816,4576179.85
377,701,119,48,2638,318,224,1564,4347281.62
378,721,228,31,1492,4650,1299,44,91992.78
379,380,90,33,306,3340,574,1669,1231979.89
380,462,203,31,1587,137,1571,1790,3462042.52
381,405,24,44,2245,4452,1875,1220,4109937.11
382,771,120,4,65,3206,883,282,1279875.51
383,732,156,43,2248,3756,1907,848,3882327.07
384,633,124,40,415,3828,381,1069,3260716.1
385,309,270,5,793,2095,1974,1406,16701.28
386,894,248,43,4908,2332,423,1009,4538879.61
387,741,266,47,802,1621,1891,52,331423.19
388,64,69,47,1427,2969,834,1151,4456096.79
389,62,106,12,672,3280,1033,942,2196860.4
390,448,135,50,2978,3439,473,1177,4871601.57
391,639,96,35,3704,4477,174,404,851426.87
392,55,231,20,2235,4792,1181,3,197544.77
393,300,89,49,2093,904,1061,1254,2921998.0
394,102,284,29,1459,1420,1276,935,4018199.71
395,226,85,16,4848,1025,1941,1577,3595942.91
396,614,286,39,4341,4390,1728,1513,3833366.71
397,768,178,17,3451,2799,620,1571,1920059.9
398,501,163,11,1331,4707,1959,599,2447976.94
399,490,109,30,4264,917,1999,1127,3605249.66
400,642,43,7,1107,4482,1303,891,4788066.96
401,378,150,22,309,4193,1072,1113,2329012.21
402,801,298,12,1611,3890,257,542,3435480.79
403,866,208,15,3875,1079,1901,148,3772528.72
404,1039,218,10,4060,869,1739,35,3761906.35
405,263,228,16,334,2244,1992,1986,984083.05
406,923,48,43,1512,2366,868,170,1250050.83
407,764,221,31,4382,2354,1572,1223,517209.42
408,482,72,39,1234,163,1518,1145,4908363.28
409,1063,97,15,50,1659,857,1646,4210431.28
410,701,103,11,2651,4601,888,1306,2983559.27
411,631,249,13,4340,217,1583,1821,706141.32
412,260,162,34,1111,231,1570,1036,4688783.13
413,1012,65,40,2167,4539,1668,1110,1302318.01
414,419,186,4,3743,4438,563,534,3740173.16
415,600,165,33,2280,92,427,1679,1181099.35
416,428,223,7,4121,3323,926,1196,4820587.65
417,375,97,48,4307,165,271,1739,1602589.77
418,336,288,42,2566,4274,439,41,57356.89
419,75,130,25,2179,1676,1000,1384,134646.46
420,416,184,45,2438,1662,1944,1498,3225257.2
421,1078,197,27,3867,2216,1773,1610,3199928.91
422,1,277,3,3114,218,1641,1945,4910354.25
423,39,19,42,4809,4135,807,1411,4796200.49
424,764,125,17,3556,1003,878,52,3455975.24
425,702,204,18,3778,4538,681,1115,4748947.86
426,157,54,42,1955,1241,117,78,3505464.9
427,318,276,50,2204,977,576,1797,3115508.36
428,419,282,22,2007,161,397,607,4111929.69
429,166,262,9,2965,520,1728,1214,451458.31
430,582,205,42,1514,4466,1567,1220,2484307.7
431,973,73,38,1638,790,1270,539,4260126.18
432,75,270,7,828,4258,317,866,712354.0
433,305,16,29,3989,1955,783,1272,3443962.4
434,902,12,40,4747,4513,1997,1024,4968057.59
435,719,293,42,3840,940,913,307,1901587.97
436,600,71,6,2609,2502,286,1445,247207.53
437,218,275,19,689,4097,255,576,1588975.15
438,835,136,34,996,3246,81,775,833735.31
439,749,176,45,1370,4128,1142,997,755699.36
440,246,87,6,3060,922,286,1658,4275290.44
441,864,226,35,2632,2478,1804,544,2539630.25
442,923,205,22,469,2698,1121,1297,3835204.25
443,404,57,36,4246,1783,1725,1875,3908420.41
444,753,66,22,844,172,1227,1084,30664.75
445,139,270,4,2911,2730,1258,213,4075388.7
446,727,38,9,4436,2362,1135,1517,1148018.01
447,71,73,43,3314,3455,1141,470,4336238.68
448,708,252,9,4200,971,1422,1606,727146.39
449,185,176,7,3345,779,1469,1683,586590.55
450,171,278,1,2611,3916,1531,132,2705001.1
451,242,61,5,2518,2303,158,95,3362066.08
452,750,150,40,3613,4882,1156,1599,3675412.52
453,1091,61,6,127,1864,1591,876,2658258.56
454,283,297,50,1709,2158,1301,954,3779520.0
455,891,95,38,1483,2620,1118,286,3191279.35
456,562,48,42,1605,1403,1475,1873,4027224.43
457,460,98,24,4096,4069,716,368,949652.35
458,197,29,15,1604,3900,110,1939,287927.29
459,1018,166,2,4000,1041,940,256,4250991.94
460,860,135,46,2038,2512,666,733,2091558.17
461,196,15,2,119,304,1502,138,1058660.34
462,109,260,25,1584,2623,464,618,2197972.54
463,538,111,23,1612,1774,1599,943,3203100.76
464,443,93,10,4370,1382,929,1911,1499890.75
465,629,244,13,1537,4211,1220,1797,385535.09
466,1086,83,17,4779,3859,1739,558,925999.02
467,514,63,4,351,1784,598,1746,1988261.25
468,774,292,44,417,1637,1134,954,4208560.24
469,198,255,1,3746,4293,27,1481,4191237.79
470,629,208,10,4747,4391,1997,1350,1094265.94
471,63,99,42,4314,4501,722,1509,3651235.59
472,570,29,16,451,368,1186,1393,322904.61
473,755,102,35,2254,2977,1540,1941,2576908.62
474,93,178,35,4398,1982,1549,373,3499363.12
475,190,206,28,2131,2096,1027,1185,1784759.0
476,390,93,36,3920,1596,279,1599,2433814.84
477,456,179,34,4113,3441,931,79,3246735.6
478,370,45,32,3276,1946,474,1360,720266.96
479,850,150,14,167,222,476,1644,3968010.07
480,135,261,6,4929,3549,932,31,2429332.34
481,49,19,20,3951,2045,960,1280,2815670.42
482,520,17,32,2810,4860,1560,314,741372.73
483,499,46,17,65,190,1172,749,956074.29
484,351,33,16,3176,1745,1198,681,2993131.68
485,84,219,45,4890,895,1102,320,4932824.94
486,137,18,24,980,4207,417,732,3240429.67
487,836,119,46,1117,4299,1745,1065,3978694.75
488,423,292,28,1994,2365,867,1822,3884733.61
489,1083,120,35,4617,3205,1681,347,4441913.25
490,483,17,43,3275,4172,1457,1380,2579774.59
491,299,163,42,3715,4729,991,918,4033302.81
492,1033,98,47,2063,4093,35,1533,186193.64
493,663,2,12,3460,609,832,1570,3100814.6
494,482,56,10,45,3532,650,1728,2985113.88
495,682,30,9,4738,1159,1844,677,4382636.22
496,239,249,46,3227,622,252,1496,3774346.92
497,554,212,41,1612,2204,118,532,2063125.1
498,638,167,44,3359,1240,205,460,2779220.15
499,403,226,20,1140,523,1593,61,2617662.97
500,855,24,44,311,916,1083,1571,153271.3
501,220,22,29,969,72,153,423,676171.63
502,742,186,28,77,2107,267,1992,613804.48
503,1088,284,38,700,1117,224,180,3789821.23
504,765,78,1,3975,4700,1551,459,4721532.26
505,162,210,34,3088,528,711,247,2103203.08
506,129,289,4,375,583,442,1868,4991684.18
507,767,126,25,4544,1288,685,1340,3983038.01
508,50,18,11,674,2809,982,634,2013666.32
509,45,214,35,512,864,1591,823,2119412.21
510,563,52,36,323,2165,1038,866,3146688.57
511,649,139,3,4731,4353,1856,1911,1649210.55
512,779,23,42,2539,3945,745,46,4505578.87
513,77,120,37,2204,420,17,747,4783213.3
514,53,28,18,46,1334,128,1194,537885.32
515,677,236,11,1202,533,1085,700,147983.41
516,722,224,12,2529,1799,1615,249,2697971.08
517,1035,103,42,3835,4167,1445,392,1115938.49
518,431,12,25,4592,238,1673,367,4011698.62
519,854,150,31,4400,1715,295,559,4856691.74
520,428,62,7,3959,1604,1212,616,4829336.01
521,647,89,25,4815,3681,1398,1138,3541124.71
522,629,62,3,1244,4313,90,386,3763037.89
523,870,35,34,782,4892,1015,366,1717924.86
524,772,147,40,2954,3096,1820,318,584343.66
525,680,133,12,2698,3383,844,1252,209963.81
526,310,159,49,2326,1902,1656,357,1043907.78
527,1067,65,25,1118,259,436,344,251865.99
528,787,85,41,546,1355,1708,615,835820.49
529,218,232,14,3548,4561,1786,1584,3136755.23
530,756,231,20,1716,2718,541,1944,3654693.89
531,540,244,27,4596,4592,1498,296,4339502.41
532,856,118,38,551,3025,1041,1339,4727351.27
533,799,127,4,1113,381,989,878,85072.74
534,668,232,36,4441,938,1852,430,3408276.28
535,922,89,43,2875,2163,183,1978,936646.79
536,624,298,34,4442,523,1459,592,245307.35
537,1085,59,44,3520,45,1147,1128,4266632.53
538,839,18,33,1783,518,933,1152,3969985.5
539,728,15,35,31,3587,1064,962,4366157.47
540,584,209,29,3398,4833,1175,1730,3219780.69
541,493,274,23,4352,4985,1691,56,4927531.68
542,585,244,22,2595,4652,1902,1935,2290319.97
543,697,62,44,2420,4436,1437,1324,1620494.68
544,378,72,7,826,2455,490,1274,4054750.38
545,696,143,14,617,2426,1183,1135,2599647.51
546,395,267,38,3913,4662,287,601,4154437.75
547,896,66,48,1314,1854,1248,188,1379637.34
548,612,101,5,2211,3241,1732,189,477364.05
549,147,245,34,1740,3658,1541,118,2568671.94
550,780,42,9,2758,4990,697,1869,3105810.5
551,993,158,3,4797,1553,1981,1925,2274975.09
552,296,113,22,3135,772,610,1917,954411.74
553,940,179,2,1675,1783,1865,1458,4161133.85
554,566,102,24,1304,4136,988,663,735144.28
555,822,217,12,1654,223,1737,347,2484148.16
556,725,197,5,3074,4872,1641,1468,1954810.79
557,707,229,47,3868,4850,1936,1041,4718772.54
558,340,21,2,2447,1779,130,678,305691.39
559,497,147,48,1572,4072,128,36,714446.31
560,6,192,22,4164,2332,997,398,1157729.51
561,307,14,20,4105,1242,1380,1067,665433.05
562,970,143,32,2052,4068,1948,1756,4507280.33
563,1061,127,10,588,4634,989,1785,2848944.87
564,264,254,1,1654,981,1342,187,4876827.82
565,127,155,33,2227,3279,337,965,2704774.05
566,240,35,31,2027,4996,504,1751,4070586.68
