ShipmentID,DateKey,CustomerKey,ProductKey,VehicleKey,DriverKey,RouteKey,WarehouseKey,ShipmentStatus,QuantityUnits,ShipmentWeightKg,FreightCost,Revenue,DeliveryDelayDays
109,849,252,42,87,187,38,15,Delivered,214,33.89,6079.97,44123.6,4
110,809,232,41,104,107,19,37,In Transit,294,1056.46,15716.63,14010.31,3
111,979,297,50,55,36,54,45,Delivered,322,1080.36,19939.78,32691.84,5
112,416,386,159,105,68,45,25,Delayed,485,1989.58,28946.11,19326.26,5
113,726,441,182,98,154,36,20,Delivered,135,1961.12,9658.37,7221.62,3
114,454,363,181,63,104,49,48,Delivered,96,1749.5,16432.57,20470.4,3
115,150,60,166,84,121,60,22,Delivered,32,2175.56,38409.66,49987.06,5
116,759,404,232,2,155,56,20,Delivered,472,4136.12,9842.91,31456.2,1
117,779,22,206,72,190,73,15,Delivered,431,257.32,19310.17,72375.26,5
118,973,384,50,82,190,64,30,Delivered,72,4237.61,19880.75,50104.41,2
119,763,126,146,56,180,62,14,Delivered,415,4593.1,10784.88,30135.69,5
120,1002,103,298,118,44,99,41,Delivered,245,836.74,43694.84,76672.31,5
121,76,388,145,7,33,59,21,Delivered,165,1833.96,25987.27,69992.23,1
122,599,440,16,43,110,1,50,Delivered,310,3257.42,19609.98,35187.61,4
123,225,221,85,31,90,97,17,Delivered,404,4892.96,39014.03,63093.61,5
124,113,110,216,61,63,81,5,Delayed,456,4331.52,2318.8,53964.21,5
125,251,58,52,22,72,90,15,Delivered,256,3705.94,49911.84,38838.84,1
126,841,472,36,62,80,77,43,Delivered,455,4697.15,48067.71,48362.4,2
127,714,65,107,28,197,5,27,Delivered,285,4912.03,4836.54,45693.45,4
128,125,472,219,25,34,19,44,In Transit,418,4491.16,44463.29,19298.08,1
129,1093,58,298,116,111,58,39,Delivered,22,935.75,15878.74,16851.4,3
130,1071,158,254,65,27,57,20,Delivered,454,3570.8,5673.92,52191.4,5
131,884,76,68,32,164,42,41,Delivered,76,1999.34,28723.85,29289.18,1
132,30,19,187,89,132,73,35,In Transit,372,4087.73,43491.77,4724.91,1
133,281,384,124,48,106,6,17,In Transit,54,282.35,8403.68,60867.52,3
134,924,485,30,80,53,85,9,Delivered,170,4146.05,48524.94,23152.45,5
135,368,190,185,93,199,22,43,Delivered,174,1475.8,14921.57,69268.08,2
136,495,250,289,106,37,53,46,Delivered,249,3854.64,28691.4,5839.13,3
137,1049,360,53,24,100,57,42,Delayed,284,845.22,33432.17,43897.61,3
138,718,363,177,81,79,51,4,In Transit,90,248.75,17860.18,15985.85,5
139,1017,374,133,42,178,5,16,Delivered,252,3251.96,43957.87,34701.8,2
140,606,452,77,70,113,22,16,Delivered,457,2223.41,49624.82,30552.46,0
141,375,79,60,78,70,7,29,Delivered,49,4234.78,20715.68,37672.73,1
142,639,84,91,90,154,64,44,Delayed,411,4564.84,7684.71,48022.87,3
143,1049,172,298,92,90,57,32,In Transit,167,2033.65,44284.68,37423.05,5
144,116,212,280,111,120,26,32,In Transit,92,3085.85,26534.23,52645.35,2
145,48,374,199,36,25,25,38,Delivered,116,1401.59,37137.76,18130.13,2
146,99,445,118,31,161,69,39,Delivered,224,1299.57,18231.88,36955.24,0
147,405,149,183,27,195,32,40,Delivered,226,4296.05,6109.57,5928.1,4
148,685,10,55,66,165,8,38,In Transit,56,731.57,43034.39,42558.86,1
149,903,30,271,83,166,9,39,Delayed,224,2228.31,24411.8,34210.66,2
150,503,280,5,92,27,54,41,Delivered,458,2273.03,5898.68,52419.66,5
151,894,432,101,45,13,92,16,Delivered,291,2924.17,9774.23,15643.43,0
152,258,55,286,44,151,20,45,In Transit,402,3157.82,37205.64,22050.33,1
153,844,360,53,57,195,68,15,Delayed,249,2165.58,43853.21,55167.24,0
154,121,127,218,21,87,67,18,Delivered,421,2211.39,14220.32,28722.83,4
155,810,180,286,55,99,44,4,Delivered,380,3109.92,14379.28,71808.73,3
156,978,232,240,109,88,41,37,Delivered,152,3513.12,5533.77,13659.87,1
157,54,381,214,15,183,42,40,Delivered,280,3968.6,21234.02,56611.35,2
158,1019,422,104,34,165,11,4,Delivered,30,3421.18,44625.24,12269.19,3
159,784,451,222,104,140,93,17,Delivered,155,42.64,8634.79,29031.36,2
160,241,93,189,3,54,43,17,Delivered,158,1159.78,39068.46,11152.17,3
161,483,8,99,1,20,86,34,Delivered,388,679.25,11335.38,38527.98,0
162,1013,413,97,24,146,8,48,Delayed,283,4059.37,10529.42,55413.15,5
163,187,247,73,43,7,46,19,Delayed,109,2407.38,1239.77,18434.47,2
164,656,394,256,27,90,34,22,Delivered,451,1919.83,33651.63,79401.89,4
165,262,453,231,9,94,95,39,Delivered,134,3750.99,19650.51,24331.58,3
166,953,331,170,88,130,68,43,Delivered,7,387.01,48700.64,51754.12,0
167,491,196,157,17,54,15,1,Delivered,375,3520.14,3057.36,27088.97,1
168,431,433,222,92,8,18,18,Delivered,341,2614.42,3763.9,23941.26,4
169,239,442,99,39,161,11,39,In Transit,455,2116.24,14580.45,21007.92,0
170,304,163,220,55,174,91,28,Delivered,258,3302.32,27119.85,36898.98,1
171,298,434,244,68,170,19,13,Delivered,457,110.03,37547.36,73799.91,3
172,76,40,259,93,119,73,35,Delivered,195,517.76,15499.48,35758.63,1
173,999,254,194,45,128,25,9,Delivered,240,1992.28,17010.54,59191.27,1
174,642,396,150,28,63,22,17,Delivered,143,469.98,36107.53,33842.19,0
175,827,85,155,56,117,87,34,In Transit,433,2416.68,18804.24,53217.49,1
176,283,272,22,101,109,62,15,Delivered,35,2977.95,32801.7,21232.25,4
177,591,78,116,29,88,37,9,Delayed,213,3224.57,16052.7,72417.9,2
178,72,213,113,108,161,10,39,Delivered,273,1187.48,49586.54,77792.52,5
179,703,304,211,116,69,81,19,Delayed,326,3822.25,45873.66,52651.58,0
180,575,255,24,29,124,52,11,Delayed,143,460.27,29539.66,9549.85,3
181,1000,91,283,69,198,77,24,Delivered,12,4644.01,48065.83,11784.12,1
182,892,484,292,11,4,68,21,In Transit,161,685.99,28308.44,51280.82,4
183,12,385,56,2,106,96,18,Delivered,381,2173.75,42631.73,3853.83,2
184,141,193,266,68,107,28,26,In Transit,394,197.37,47654.87,11807.08,1
185,17,253,54,10,186,30,49,Delivered,198,2422.42,48804.19,45941.94,2
186,1087,278,108,120,157,46,4,Delayed,170,4633.17,48608.2,67852.62,2
187,253,143,202,103,21,40,2,In Transit,161,1076.35,43714.34,21287.79,1
188,465,244,202,108,154,21,17,In Transit,376,4532.02,20049.12,50246.13,1
189,376,212,218,72,86,15,1,In Transit,13,2523.73,49608.45,26339.43,2
190,981,195,243,119,41,3,13,Delivered,382,544.19,39086.86,38904.47,2
191,520,270,178,87,78,81,10,Delivered,194,3859.68,42638.32,3486.21,1
192,90,329,61,27,162,79,17,Delivered,18,2188.88,40074.62,67485.86,4
193,720,19,36,87,172,97,21,Delivered,114,2399.64,28860.78,76478.96,3
194,804,40,46,112,129,69,49,Delivered,209,3066.99,27289.1,26471.32,1
195,796,98,95,98,160,8,43,Delivered,354,4148.89,20993.55,67306.04,1
196,630,4,44,35,160,9,9,In Transit,264,2052.85,6702.11,9454.62,3
197,76,33,226,81,51,90,31,Delayed,312,3761.09,31655.75,75974.36,1
198,926,299,146,111,118,2,35,In Transit,477,808.54,16413.4,79213.79,5
199,400,165,269,50,24,37,10,In Transit,390,244.6,10001.29,2455.72,0
200,970,450,13,74,172,100,49,Delivered,207,240.92,13460.31,12140.34,3
201,1095,27,25,118,76,12,48,Delivered,95,214.46,19665.98,43107.05,4
202,797,173,261,2,84,19,48,Delayed,429,2633.36,887.28,45362.89,1
203,195,337,128,17,37,27,15,Delivered,30,1954.18,17784.72,47375.06,1
204,228,113,39,95,84,24,45,Delivered,468,3930.31,32048.59,7010.86,4
205,461,434,157,80,66,66,2,Delivered,154,20.49,10418.62,67650.39,4
206,618,373,185,24,14,16,38,Delivered,148,3358.33,11019.77,68950.47,4
207,1045,380,174,57,145,2,3,Delivered,440,1873.87,8278.56,63724.75,0
208,64,95,186,71,88,21,26,In Transit,24,2356.09,12308.35,58186.45,0
209,165,319,281,83,15,10,33,In Transit,60,679.2,1804.51,2647.48,1
210,27,233,74,16,61,58,49,In Transit,296,3831.16,48934.37,66619.46,5
211,1012,134,295,97,177,17,24,Delivered,432,4350.27,3891.86,1579.0,3
212,285,124,16,36,98,76,33,Delivered,16,181.27,36548.46,14549.65,5
213,281,372,188,45,117,7,30,Delivered,58,1693.5,13854.79,10886.65,3
214,838,351,172,10,136,73,43,In Transit,68,2082.84,25106.28,57635.43,2
215,831,323,186,63,3,46,4,In Transit,354,4281.44,16933.56,14316.38,2
216,918,488,32,43,75,50,43,Delivered,67,3977.02,48547.47,49682.49,1
217,224,451,63,51,155,10,45,Delivered,125,2745.45,18254.39,11823.61,4
218,784,353,189,79,137,16,22,Delayed,195,904.35,22665.49,55136.05,2
219,965,116,26,107,15,1,49,Delivered,319,2772.46,49440.06,72044.31,2
220,950,443,39,3,32,9,20,Delivered,294,2207.13,5408.38,62001.55,0
221,1054,13,193,66,11,13,29,Delivered,369,4516.18,15134.58,24133.11,4
222,45,405,163,107,131,61,21,In Transit,321,1342.96,19578.37,58095.91,1
223,471,320,53,106,26,48,45,In Transit,268,3977.87,22760.69,79577.14,4
224,34,165,174,35,7,16,17,Delivered,211,2828.42,47889.29,53931.96,1
225,653,208,196,91,92,98,2,Delivered,227,171.26,19398.52,11055.67,1
226,830,85,211,69,183,41,34,Delivered,242,1254.6,14436.35,45379.15,0
227,221,248,278,79,39,30,22,Delivered,197,657.41,16056.49,33678.0,5
228,534,432,188,36,4,77,50,Delivered,43,2344.45,6752.23,16269.59,2
229,692,56,214,49,30,72,6,Delivered,307,3962.54,7466.57,15426.26,1
230,932,172,29,97,166,55,25,Delivered,423,2936.59,12483.53,64531.66,1
231,841,141,171,1,51,11,2,Delivered,458,1637.04,9016.82,13422.2,1
232,1011,132,122,76,36,52,43,Delivered,138,3635.31,17215.43,76131.56,1
233,582,479,159,42,95,95,17,Delivered,229,3102.39,7437.96,74880.42,4
234,239,201,86,41,113,75,9,In Transit,292,352.28,28497.96,71451.39,4
235,441,368,4,73,117,48,20,Delivered,370,544.73,47557.23,15512.15,0
236,148,289,2,57,60,7,37,Delivered,377,510.92,25155.93,31789.6,3
237,1033,421,133,116,51,54,15,Delivered,227,1597.9,22602.31,39356.12,2
238,388,309,79,20,177,1,26,Delivered,345,2896.99,9694.78,56693.2,5
239,1074,357,147,94,15,87,25,Delivered,177,4656.2,11507.73,22855.3,1
240,916,408,166,14,91,32,31,In Transit,251,3343.76,31285.4,12031.34,3
241,638,345,238,87,124,62,30,Delivered,435,3544.42,6331.62,50408.66,5
242,278,179,276,93,84,15,49,Delivered,442,489.18,9260.54,44228.44,3
243,989,425,204,115,156,82,10,Delivered,127,531.26,29478.05,41261.8,3
244,589,29,53,106,153,92,38,Delivered,223,695.75,36889.15,6046.21,1
245,649,443,107,99,164,61,45,Delivered,492,2915.5,47122.98,44864.34,2
246,618,424,55,52,4,78,21,Delivered,379,3717.48,9253.98,18356.87,2
247,135,307,246,91,21,77,48,Delivered,356,3957.74,36024.62,33717.81,1
248,580,306,164,54,91,56,24,Delivered,211,1056.5,12536.15,28661.01,0
249,490,367,15,49,193,34,34,Delayed,374,3614.01,8434.59,45832.93,0
250,478,36,1,91,69,20,28,Delivered,263,1618.22,41138.39,29481.7,3
251,384,463,137,30,138,24,37,In Transit,393,2790.84,15250.76,41541.14,1
252,163,109,151,3,50,28,24,In Transit,473,2553.74,16918.77,69894.36,5
253,441,316,180,12,10,11,29,Delivered,151,369.73,20094.41,63053.18,0
254,415,146,232,111,90,92,17,Delivered,461,4205.46,2780.27,71250.04,4
255,288,276,188,31,144,86,39,Delivered,375,3673.95,43939.95,62573.66,2
256,187,389,18,37,166,30,24,Delivered,319,3386.09,48570.12,33298.47,4
257,130,146,225,27,67,38,17,In Transit,42,1703.75,10666.02,48153.33,5
258,194,380,105,111,20,81,37,Delayed,11,4959.31,4258.79,52110.36,4
259,316,168,206,116,111,86,6,Delivered,355,318.82,24756.69,48820.07,0
260,144,257,186,24,69,1,42,Delivered,472,1515.45,33091.24,51362.6,2
261,16,275,65,112,198,84,37,Delivered,418,662.56,24922.27,51128.32,4
262,423,87,207,41,25,69,46,In Transit,45,1181.42,32802.25,54786.58,2
263,245,154,229,104,89,33,31,Delivered,207,2234.06,47580.99,55363.52,4
264,927,497,69,64,54,65,20,In Transit,267,3066.23,16906.92,47481.28,2
265,129,285,142,11,12,44,46,In Transit,308,494.55,44471.05,21400.68,1
266,907,315,206,91,65,64,2,Delivered,83,2907.08,27459.34,41636.97,5
267,887,319,174,73,182,9,41,Delivered,316,3893.37,35798.96,38622.83,5
268,341,98,197,16,67,32,18,Delivered,304,4599.32,41691.11,56881.67,0
269,4,211,197,14,149,54,50,Delivered,284,1047.18,13684.73,69756.06,1
270,306,446,228,47,133,26,22,Delivered,496,4461.44,18083.06,69885.85,2
271,908,48,271,30,186,62,41,In Transit,185,4355.92,2482.91,19085.72,0
272,607,318,199,110,79,42,37,Delivered,422,1412.6,39071.95,38465.99,0
273,992,274,15,24,132,48,26,Delivered,398,3438.93,4004.43,69961.64,5
274,321,194,286,106,19,6,50,Delivered,199,3469.24,21305.59,48114.9,3
275,559,252,216,13,81,30,12,Delivered,246,4737.4,41026.04,56657.5,1
276,618,283,35,97,55,23,6,Delivered,160,1159.65,5605.67,59673.07,4
277,711,262,69,119,61,89,17,Delivered,184,467.73,49674.21,6970.24,0
278,531,487,212,9,200,25,14,Delivered,257,2800.03,28441.65,33226.52,4
279,410,454,46,49,101,13,10,Delayed,61,1289.59,6687.23,40517.06,5
280,818,443,248,26,152,25,26,In Transit,470,1182.98,1204.82,78892.47,1
281,493,262,85,49,196,17,3,In Transit,225,4616.03,17147.78,69997.35,3
282,12,31,48,42,147,27,42,Delivered,304,3617.0,11416.88,77488.62,0
283,195,105,231,45,24,11,46,Delivered,140,3350.59,23445.27,57017.19,3
284,490,488,67,114,54,6,15,Delivered,285,4761.27,23572.07,39110.38,5
285,795,350,89,77,149,79,16,Delivered,289,349.86,8216.32,78769.09,3
286,881,312,219,21,81,37,38,Delivered,289,2937.72,33116.69,49757.99,2
287,182,438,52,29,200,96,14,In Transit,278,2439.89,20915.28,44117.76,3
288,962,469,22,92,19,88,36,Delivered,124,1514.23,31829.25,79479.92,5
289,656,169,99,24,181,75,13,In Transit,499,2935.25,43253.99,44559.64,4
290,694,236,131,77,178,93,27,Delivered,70,4002.37,8886.12,16599.79,3
291,30,274,88,120,151,72,8,In Transit,95,2809.1,21933.54,34081.43,2
292,778,343,136,42,37,37,23,Delivered,493,873.67,42146.56,42700.09,1
293,444,230,39,84,28,74,41,Delivered,249,2820.76,36252.14,67217.7,0
294,298,23,18,103,80,59,11,Delivered,212,986.29,15616.79,39749.19,1
295,808,476,105,71,71,10,5,Delivered,80,759.83,37935.12,51607.49,2
296,845,164,146,41,149,1,5,Delivered,417,2736.25,19407.9,75020.06,4
297,1016,281,224,48,21,52,25,In Transit,139,534.84,48582.75,62283.38,0
298,554,7,117,79,169,87,18,Delivered,418,1884.02,13113.87,41595.32,4
299,303,210,1,89,35,18,48,Delivered,229,3251.22,9319.78,32413.33,1
300,421,253,117,99,110,87,24,Delivered,439,2917.82,43992.84,51334.01,0
301,185,404,26,77,1,5,9,Delivered,229,2421.41,25090.97,78883.69,4
302,468,133,12,43,92,95,43,Delivered,92,1218.75,37333.3,52146.12,5
303,754,274,294,8,195,84,11,Delivered,191,1505.49,47533.98,16959.28,0
304,363,106,169,85,91,93,14,Delivered,6,1103.34,10265.92,16541.45,1
305,336,232,53,63,70,48,42,In Transit,300,2629.34,5457.24,8816.01,4
306,162,33,269,117,132,33,9,Delivered,385,4439.18,11217.3,14869.33,5
307,12,79,248,120,1,57,5,Delivered,37,4215.0,6180.09,72011.53,0
308,588,35,128,63,149,96,27,Delivered,470,4000.28,48119.31,24974.11,0
309,201,495,76,6,99,25,11,In Transit,481,1422.76,35814.63,6054.75,4
310,522,110,269,74,92,44,28,Delivered,402,2358.99,32963.34,55693.69,1
311,505,321,146,113,82,91,9,In Transit,102,1961.29,47604.84,4417.62,2
312,788,63,48,52,116,87,13,Delivered,93,2636.53,48933.21,2643.02,0
313,1063,469,199,105,125,66,19,Delivered,487,2227.93,45694.1,26085.69,4
314,60,328,71,21,52,68,8,Delivered,386,2287.03,33157.95,1691.28,4
315,578,455,92,14,99,25,4,In Transit,193,346.04,25088.3,41734.03,5
316,321,297,209,116,53,45,44,Delivered,326,1010.19,2674.15,56256.9,4
317,923,178,48,109,85,23,25,Delivered,240,1882.11,43910.05,17322.74,2
318,569,384,29,58,80,100,7,In Transit,155,1172.26,5456.16,47788.25,3
319,527,364,176,97,56,41,27,Delivered,362,4377.55,4763.47,35139.58,5
320,524,232,19,25,103,87,40,Delivered,271,4509.97,32980.81,68959.69,4
321,613,104,47,56,87,33,23,Delivered,334,3456.55,41653.02,41002.2,2
322,125,414,60,83,194,28,40,Delivered,480,4767.66,34432.29,29211.36,3
323,871,294,176,9,195,8,29,Delivered,395,552.16,18567.2,42168.94,2
324,280,35,255,113,33,97,36,Delayed,5,1736.28,41557.12,20092.23,4
325,917,194,229,111,23,29,10,Delivered,339,4922.53,767.76,32406.89,0
326,622,174,147,116,6,56,32,Delivered,475,3260.44,8651.1,42679.49,4
327,846,392,298,101,85,15,47,Delivered,110,4775.91,25300.97,57320.22,5
328,674,102,239,100,175,15,23,Delivered,377,1061.01,43960.79,15031.82,2
329,314,324,188,36,186,37,40,Delivered,65,2264.25,5636.55,61487.81,4
330,332,293,209,57,5,19,47,Delayed,111,1293.34,25361.96,7944.1,1
331,36,85,75,79,77,59,48,Delivered,41,4529.51,10687.09,2704.67,5
332,1046,397,183,5,83,51,24,Delivered,353,3202.36,11190.15,68010.21,2
333,206,201,87,81,9,85,21,Delivered,95,3399.25,42155.28,6884.85,5
334,639,173,271,94,3,35,39,In Transit,413,3022.5,8810.95,69194.85,2
335,848,29,180,7,189,90,40,Delivered,103,3965.43,3870.5,77240.48,4
336,440,297,245,6,192,92,29,Delivered,449,2549.54,4733.23,56010.22,2
337,729,56,7,79,46,86,45,Delayed,253,4339.41,17833.79,39507.04,2
338,941,472,269,52,184,36,45,Delivered,237,212.42,27288.42,43713.55,2
339,164,16,13,110,39,53,27,In Transit,374,3995.13,1067.92,38510.54,4
340,148,140,226,74,13,80,34,Delivered,128,93.29,49690.79,29991.16,4
341,294,66,266,70,41,12,26,Delivered,283,1653.38,46978.45,39583.21,4
342,195,446,242,106,139,28,15,Delayed,189,2265.19,23533.2,22027.4,5
343,663,147,180,55,41,71,6,Delivered,41,2769.32,7741.11,16031.07,4
344,480,158,180,116,75,33,25,Delivered,455,4518.99,8485.95,26396.97,5
345,123,400,126,105,175,88,18,In Transit,60,4499.55,19787.91,1240.67,3
346,699,472,283,77,177,75,7,Delivered,64,4107.47,45674.72,35427.08,0
